1,491,Doctoral Dissertation,ANFS
2,197,Undergraduate Research,ANNB
3,19,Ugr Hum Anatomy & Physiology,ANPS
4,21,D2: SU: Cultural Anthropology,ANTH
5,24,D2:SU: Prehistoric Archaeology,ANTH
6,59,ISSP:D2:SU:Culture&Environment,ANTH
7,95,Global Health Develpmnt Diver,ANTH
7,95,D2: Food and Culture,ANTH
7,95,Intro to Writing Systems,ANTH
8,152,D2:Chinese Culture,ANTH
9,174,D2:SL:Culture Hlth and Healing,ANTH
10,178,Sociolinguistics,ANTH
11,191,Teaching Assistantship,ANTH
12,192,Independent Study,ANTH
13,193,Internship,ANTH
14,195,Archaeology in the Media,ANTH
14,195,Anthropology of Humor,ANTH
15,198,Undergraduate Research,ANTH
16,205,Senior Proseminar in Anthro,ANTH
17,292,Independent Study,ANTH
18,293,Internship,ANTH
19,295,Human Diversity & Evolution,ANTH
19,295,Human Diversity&Evolution Lab,ANTH
19,295,Anthropology and Activism,ANTH
19,295,Ethnography the War on Terror,ANTH
20,298,Undergraduate Research,ANTH
21,1,Elementary Arabic I,ARBC
22,51,Intermediate Arabic I,ARBC
23,95,Language & Arabic Culture,ARBC
24,5,Western Art:Ancient - Medieval,ARTH
25,6,Western Art:Renaissance-Modern,ARTH
26,140,Hist of Optical Media as Art,ARTH
27,158,Northern European 1400-1600,ARTH
28,178,Methods and Theories,ARTH
29,185,D2: Japanese Art,ARTH
30,186,D2: The Hindu Temple,ARTH
31,191,Internship,ARTH
32,198,Undergraduate Research,ARTH
33,282,Northern Baroque Art:Rembrandt,ARTH
34,1,Drawing,ARTS
34,1,TAP:Drawing,ARTS
35,3,Three-Dimensional Studies,ARTS
36,12,Perspectives on Art Making,ARTS
37,95,SU:TAP:Art  Design &Envronmnt,ARTS
37,95,TAP: Intro to Wheel Throwing,ARTS
38,113,Clay: Hand Building,ARTS
39,114,Clay: Wheel Throwing,ARTS
40,115,Intermediate Drawing,ARTS
41,121,Painting,ARTS
42,131,Printmaking: Etching,ARTS
43,132,Printmaking: Silkscreen,ARTS
44,137,Photography,ARTS
45,138,Color Photography,ARTS
46,141,Sculpture,ARTS
47,144,Digital Art,ARTS
48,145,Graphic Design,ARTS
49,148,Motion Picture Production,ARTS
50,191,Internship,ARTS
51,197,Independent Study,ARTS
52,215,Advanced Drawing,ARTS
53,221,Advanced Painting,ARTS
54,248,Adv Motion Picture Production,ARTS
55,281,Advanced Studies in Studio Art,ARTS
56,10,D2:TAP: What is Sound?,AS
57,95,SL: Design Thinking,AS
57,95,Foundations of Learning,AS
57,95,Design Your Life,AS
57,95,BioFIG,AS
58,195,SL: Intern in Social Science,AS
58,195,SL: Intern in Food Systems,AS
58,195,Intern in Arts & Sciences,AS
59,1,Introductory Animal Sciences,ASCI
59,1,Introductory Animal Sciences,ASCI
60,6,Companion Animal Care & Mgmt,ASCI
61,21,Horse Barn Cooperative,ASCI
62,97,Introductory Special Topics,ASCI
62,97,Intro Undergraduate Research,ASCI
62,97,Introductory TA's,ASCI
62,97,Understanding & Speaking Dog,ASCI
62,97,Intro to the Horse,ASCI
63,110,Animal Nutrit  Metab & Feeding,ASCI
63,110,Animal Nutrit  Metab & Feeding,ASCI
64,117,Horse Health and Disease,ASCI
65,121,Equus,ASCI
66,129,Horse Barn Coop Exec Committee,ASCI
67,135,CREAM,ASCI
68,156,Dairy Management Seminar,ASCI
69,181,Animal Science Career Seminar,ASCI
70,185,Biochem for Life & Health Sci,ASCI
71,187,BiochemLab for Life&Health Sci,ASCI
72,191,Teaching Assistants,ASCI
72,191,Intermediate Special Topics,ASCI
72,191,Canine Behavior,ASCI
72,191,Equine Training Techniques,ASCI
72,191,Equine Training Techniques,ASCI
73,195,Internship,ASCI
74,197,Undergraduate Research,ASCI
75,216,Endocrinology,ASCI
76,252,FARMS Senior Project,ASCI
77,264,Clin Topics:Livestock Medicine,ASCI
78,297,Advanced Special Topics,ASCI
78,297,Teaching Assistants,ASCI
78,297,Cream Advising,ASCI
78,297,Student Leadership,ASCI
78,297,Advanced Undergrad Research,ASCI
79,301,ASCI Graduate Journal Club,ASCI
80,391,Master's Thesis Research,ASCI
81,1,American Sign Language I,ASL
82,2,American Sign Language II,ASL
83,51,American Sign Language III,ASL
84,52,American Sign Language IV,ASL
85,195,Fingerspelling & Numbers,ASL
86,5,Exploring the Cosmos,ASTR
87,23,Astr Lab I:Measuring the Sky,ASTR
88,155,The Big Bang,ASTR
89,195,Intermediate Special Topics,ASTR
90,257,Modern Astrophysics,ASTR
91,155,Emergency Med. Response in AT,AT
92,159,Practicum in Athletic Trng I,AT
93,161,Practicum in Athletic Trng III,AT
94,168,Directed Obsv. in Athl Trng,AT
95,169,Clinical Experience in AT I,AT
96,171,Clinical Experience in AT III,AT
97,173,Clinical Experience in AT V,AT
98,184,Injury Eval & Recognition I,AT
99,187,Rehabilitation Techniques,AT
100,189,Recog & Tx of Med Cond in AT,AT
101,190,Senior Seminar in AT I,AT
102,11,Exploring Biology,BCOR
102,11,Exploring Biology,BCOR
103,21,Accelerated Biology,BCOR
103,21,Accelerated Biology,BCOR
104,101,Genetics,BCOR
104,101,Genetics,BCOR
105,102,SU: Ecology and Evolution,BCOR
105,102,SU:Ecology and Evolution,BCOR
106,195,UG Teaching Assistant,BCOR
107,192,Undergraduate Research,BIOC
108,205,Biochemistry I,BIOC
109,284,Biochemistry Senior Seminar,BIOC
110,292,Undergraduate Research,BIOC
111,294,Teaching Assistantship,BIOC
112,295,Fundamentals of Biochemistry,BIOC
112,295,Advanced BIOC of Human Disease,BIOC
113,301,General Biochemistry,BIOC
114,381,Seminar,BIOC
115,391,Master's Thesis Research,BIOC
116,392,Independent Literature Rsch,BIOC
117,395,Biochemistry Special Topics,BIOC
118,491,Doctoral Dissertation Research,BIOC
119,491,Doctoral Dissertation Research,BIOE
120,1,Principles of Biology,BIOL
120,1,Principles of Biology,BIOL
121,3,Human Biology,BIOL
122,13,Human Biology Laboratory,BIOL
123,98,Undergraduate Research,BIOL
124,189,Teaching Assistantship,BIOL
125,190,Internship,BIOL
126,198,Undergraduate Research,BIOL
127,204,Adv Genetics Laboratory,BIOL
128,217,Mammalogy,BIOL
128,217,Mammalogy,BIOL
